FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,CIFSN,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,COUSUB,COUSUBCC,COUSUBNS,SUBMCD,SUBMCDCC,SUBMCDNS,ESTATE,ESTATECC,ESTATENS,CONCIT,CONCITCC,CONCITNS,PLACE,PLACECC,PLACENS,TRACT,BLKGRP,BLOCK,AIANHH,AIHHTLI,AIANHHFP,AIANHHCC,AIANHHNS,AITS,AITSFP,AITSCC,AITSNS,TTRACT,TBLKGRP,ANRC,ANRCCC,ANRCNS,CBSA,MEMI,CSA,METDIV,NECTA,NMEMI,CNECTA,NECTADIV,CBSAPCI,NECTAPCI,UA,UATYPE,UR,CD116,CD118,CD119,CD120,CD121,SLDU18,SLDU22,SLDU24,SLDU26,SLDU28,SLDL18,SLDL22,SLDL24,SLDL26,SLDL28,VTD,VTDI,ZCTA,SDELM,SDSEC,SDUNI,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,GCUNI,POP100,HU100,INTPTLAT,INTPTLON,LSADC,PARTFLAG,UGA,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073
PLST,TX,040,00,00,000,03,0000001,0400000US48,48,3,7,48,01779801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676680588914,18979352230,Texas,Texas,A,,29145505,11589324,+31.4347032,-099.2818238,00,,,21866700,18325577,11466950,2627714,206988,1219232,23781,2780912,3541123,3443781,94664,244061,89592,6794,2871897,19407,9864,2029,42948,2118,431,40995,8612,7978,2391,87583,15124,3125,378,11188,3116,494,41071,3371,5526,645,490,97,1389,453,418,120,77,208,74,219,8489,1286,159,4898,222,429,40,325,652,59,214,69,58,2,53,23,1150,388,567,78,37,53,27,120,120,21866700,7907319,13959381,13383911,9437993,2575257,67248,1205578,20144,77691,575470,545646,85987,210345,83866,5969,104449,17523,9236,1884,13150,1464,233,691,8021,2584,244,26828,11855,2677,328,2628,2340,381,1169,3019,684,78,388,68,442,367,198,51,39,16,10,90,2524,937,113,707,169,151,18,230,54,2,47,49,18,2,27,0,424,224,150,19,13,12,6,48,48
PLST,TX,050,00,00,000,03,0000002,0500000US48001,48001,3,7,48,01779801,001,H1,01383786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37300,2,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752164828,39845046,Anderson,Anderson County,A,,57922,20131,+31.8412614,-095.6617267,06,,,47381,45123,28789,9888,275,327,10,5834,2258,2174,157,583,46,14,1267,26,6,0,24,5,0,41,2,3,0,67,17,0,0,12,4,6,27,0,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47381,8350,39031,38031,27667,9809,157,317,10,71,1000,949,143,549,35,14,165,25,6,0,5,5,0,0,2,0,0,41,17,0,0,10,4,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000003,0500000US48003,48003,3,7,48,01779801,003,H1,01383787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11380,2,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886850259,957039,Andrews,Andrews County,A,,18610,7020,+32.3122581,-102.6402058,06,,,12948,10450,7768,183,174,81,0,2244,2498,2454,36,170,8,0,2203,1,1,0,6,3,0,23,3,0,0,42,10,0,4,3,0,1,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12948,6731,6217,5963,5636,160,71,72,0,24,254,235,31,147,8,0,44,1,1,0,0,0,0,0,3,0,0,19,10,0,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000004,0500000US48005,48005,3,7,48,01779801,005,H1,01383788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31260,2,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066460812,173300091,Angelina,Angelina County,A,,86395,36480,+31.2518963,-094.6111337,06,,,65058,59728,43155,9544,419,726,40,5844,5330,5191,273,926,87,10,3731,47,5,0,42,0,0,52,2,15,1,130,29,2,0,14,0,0,67,2,3,4,5,3,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,65058,12872,52186,50552,40104,9429,156,709,30,124,1634,1579,272,865,79,10,282,47,3,0,20,0,0,0,0,0,1,48,28,2,0,9,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PLST,TX,050,00,00,000,03,0000005,0500000US48007,48007,3,7,48,01779801,007,H1,01383789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40530,2,204,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652856780,714538201,Aransas,Aransas County,A,,23830,15500,+28.1226209,-096.9675012,06,,,19816,17394,15372,197,189,401,17,1218,2422,2362,25,432,63,3,1793,7,1,0,5,2,0,14,12,5,0,55,7,0,0,4,2,0,34,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,2,19816,4397,15419,14716,13935,187,119,388,15,72,703,681,25,392,58,3,186,0,1,0,1,2,0,0,12,1,0,20,7,0,0,0,2,0,3,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
PLST,TX,050,00,00,000,03,0000006,0500000US48009,48009,3,7,48,01779801,009,H1,01383790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48660,1,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2339508165,57767715,Archer,Archer County,A,,8560,3865,+33.6163054,-098.6872669,06,,,6612,6250,5929,27,75,17,0,202,362,341,23,136,11,0,159,0,4,0,1,0,0,4,2,1,0,15,2,0,0,1,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,6612,474,6138,5910,5811,25,51,17,0,6,228,216,23,129,11,0,47,0,2,0,1,0,0,0,2,1,0,11,2,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000007,0500000US48011,48011,3,7,48,01779801,011,H1,01383791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100,1,108,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354617585,12183672,Armstrong,Armstrong County,A,,1848,842,+34.9641790,-101.3566363,06,,,1427,1357,1290,10,17,9,0,31,70,63,1,31,2,1,24,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,0,1427,85,1342,1292,1258,6,17,9,0,2,50,48,1,31,2,1,10,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000008,0500000US48013,48013,3,7,48,01779801,013,H1,01383792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41700,1,484,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3158596616,4995711,Atascosa,Atascosa County,A,,48981,18777,+28.8914775,-098.5353810,06,,,35983,27313,21223,306,406,151,15,5212,8670,8548,87,416,52,7,7888,10,6,1,15,0,0,33,10,22,1,117,6,7,0,16,4,0,67,5,9,0,0,1,1,0,0,1,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,35983,21784,14199,13548,12906,262,108,139,12,121,651,628,64,308,42,7,186,4,6,1,0,0,0,0,10,0,0,23,5,7,0,3,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000009,0500000US48015,48015,3,7,48,01779801,015,H1,01383793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420,1,288,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674415880,25596214,Austin,Austin County,A,,30167,13779,+29.8919013,-096.2701696,06,,,23157,20508,16141,1813,190,165,8,2191,2649,2602,74,335,30,2,2061,16,4,0,25,1,8,44,0,2,0,41,7,0,0,3,1,0,18,0,6,0,0,0,0,0,1,0,0,0,0,5,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23157,5357,17800,17226,15123,1787,65,165,8,78,574,568,65,295,28,0,154,9,4,0,9,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,TX,050,00,00,000,03,0000010,0500000US48017,48017,3,7,48,01779801,017,H1,01383794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,9,999,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141847187,1775275,Bailey,Bailey County,A,,6904,2746,+34.0675209,-102.8303446,06,,,4838,3994,2499,39,48,9,0,1399,844,837,0,44,0,0,783,0,0,0,0,0,0,8,0,0,2,7,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4838,2946,1892,1848,1782,32,11,8,0,15,44,41,0,29,0,0,4,0,0,0,0,0,0,8,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
